Harapan_Lama_Sekolah;Pengeluaran_Perkapita;Rerata_Lama_Sekolah;Usia_Harapan_Hidup;IPM
131;14482;844;7038;High
139;14705;873;6506;High
1245;11998;667;6206;Normal
1281;11875;717;6721;Normal
1316;18095;1114;7333;Very-High
1412;15498;1025;721;High
1298;18227;1113;7291;Very-High
1257;12412;868;6876;High
1333;23575;1163;7412;Very-High
1386;17438;1166;7447;Very-High
1325;17179;1138;7411;Very-High
128;20468;1063;7362;Very-High
1263;18437;108;7328;Very-High
125;10845;855;7304;High
1248;10317;83;7117;High
1223;8823;707;7097;Normal
1199;7980;718;7013;Normal
1269;10201;896;7353;High
1191;7876;752;7141;Normal
1253;7852;735;6947;Normal
1406;9288;77;7183;High
1222;9459;757;7359;Normal
1225;10342;692;7199;Normal
1222;9521;727;7027;Normal
1297;10217;851;7243;High
1225;9859;63;7163;Normal
117;10790;71;7235;Normal
1211;11614;809;7099;High
1209;11315;777;7215;High
1309;11241;912;7368;High
1187;8455;819;7234;Normal
1207;9084;774;714;Normal
1341;11564;1033;7361;High
1347;10999;959;7242;High
142;16887;1075;7428;Very-High
1312;11800;991;7226;High
14;15776;1116;7501;Very-High
1392;15281;1128;7444;Very-High
138;12025;1096;7403;High
1345;10263;933;7215;High
1323;10535;863;7099;High
127;10930;769;7437;High
125;10440;697;7373;Normal
1285;11448;752;7372;High
1199;9914;724;7314;Normal
1146;9263;674;7418;Normal
1334;8901;754;734;Normal
135;10163;812;7472;High
1175;10621;681;7182;Normal
1254;9301;778;7372;Normal
1256;12910;784;7595;High
1325;11921;858;7678;High
1383;11325;934;7765;High
1249;9286;733;7616;High
1368;11428;856;7747;High
1283;12589;765;7571;High
123;10221;691;7475;Normal
122;9571;683;7441;Normal
1211;10328;716;7455;High
1265;10390;744;7622;High
1323;11160;875;766;High
1275;10343;768;7584;High
1331;10128;771;754;High
1297;11966;802;7573;High
1214;9343;724;7558;Normal
1295;11425;745;7443;High
1201;9431;687;7469;Normal
1241;10312;691;7369;Normal
1195;8461;642;734;Normal
1267;9612;698;716;Normal
1204;10058;621;6933;Normal
1414;12210;1039;7685;High
1487;14761;1069;7722;Very-High
1541;15699;1042;774;Very-High
1552;15243;1053;7734;Very-High
1284;12467;896;7438;High
1305;12999;851;7446;High
1559;14015;955;7499;High
1426;10041;886;7524;High
1517;15517;955;7386;Very-High
1297;9486;721;7412;Normal
1673;15926;1091;7481;Very-High
1743;18678;1146;7465;Very-High
1319;11601;778;713;High
1264;8796;76;7194;Normal
1373;9670;754;7277;High
1235;9630;755;7375;Normal
1331;10705;833;7408;High
1246;10654;739;7352;High
1315;11000;802;7261;High
1318;10028;742;7255;High
1181;9088;64;701;Normal
1342;9294;648;6915;Normal
128;12140;716;7065;High
1328;10610;593;6674;Normal
1315;9857;646;6913;Normal
1235;10859;611;672;Normal
1241;10164;74;7023;Normal
1493;14458;105;7404;Very-High
1288;12779;851;7253;High
1327;11261;854;724;High
1286;12130;764;7154;High
1316;11574;781;7138;High
1403;11776;824;7259;High
127;11418;706;723;High
1239;10121;733;7156;Normal
1221;10238;695;7143;Normal
1348;11456;792;724;High
1373;13246;93;7266;High
116;8610;595;7018;Normal
